,S/L,S/M,S/H,B/L,B/M,B/H,high_ret,low_ret,SMB,HML,MOM
1308,0.10037719875237207,0.2769731581224526,0.212290394890734,0.182619267911238,0.27121038824004784,0.21309955782852372,0.29990985785968455,0.13111593305544902,-0.025762820738083614,-0.07119674302782383,0.16879392480423552
1309,0.09588918517307209,0.2513895282388515,0.15259126511109794,0.16811531410482436,0.19391050229895326,0.1409860199388796,0.24765871908081244,0.097883599182077,-0.001047285939878545,-0.014786392886040556,0.14977511989873543
1310,0.07985904081773686,0.27526430710249894,0.17418461148031744,0.1613558059161791,0.22571368798841662,0.16672676329384659,0.25994305009714413,0.11209085157343313,-0.008162765932629684,-0.04984826402012402,0.147852198523711
1311,0.09812317902066656,0.28518864166035895,0.1860052764900016,0.157127675780193,0.23688265355836552,0.17117380946639438,0.2678457334982515,0.11965723537103633,0.001377652788691397,-0.050964115577768226,0.14818849812721518
1312,0.07739190040006352,0.301945606962616,0.15465828807291085,0.11512671808110136,0.22486810623111933,0.14674062149454783,0.23970842822926428,0.08438067332731981,0.015753449876273973,-0.0544401455431469,0.15532775490194445
1313,0.06785839148854537,0.36065257041367127,0.1273993243628453,0.08873258260926017,0.20415098966066192,0.10049497951577305,0.23139030847210276,0.06948456139984248,0.05417724482645564,-0.0356516648904064,0.1619057470722603
1314,0.026198153406843887,0.3468974638146772,0.18174762777229045,0.10736715971434635,0.1819651957500327,0.10507226167061236,0.22282259797286225,0.06983624987167471,0.05347954261960669,-0.07662728816085629,0.15298634810118755
1315,0.044466918889143406,0.32891686344642196,0.19071588252234892,0.09009534110151812,0.15710901624645782,0.087468034937024,0.23736046223132504,0.0773249209597219,0.07647575752430479,-0.07181082873435571,0.16003554127160313
1316,0.12574379544360406,0.30841066020875496,0.20328074540378738,0.10406719366439486,0.17069982898139377,0.12862751661103977,0.2316042268361606,0.08392287929250938,0.078013553933106,-0.05104863645341412,0.14768134754365123
1317,0.11544815523836413,0.2865519242003805,0.20937967624587486,0.12990714139674012,0.18998757713312917,0.14737999224476886,0.23901726966017942,0.09369154802454796,0.048035014969993794,-0.05570218592776974,0.14532572163563146
1318,0.08447994309166419,0.2274664448936489,0.23439644642167007,0.07939233283055601,0.12243397961984359,0.08599392920201779,0.21258482051496402,0.06405538346264766,0.08617419758485527,-0.07825904985073384,0.14852943705231636
1319,0.06451484930479941,0.1892399756787729,0.21767637318091604,0.043610707282714725,0.09815931046329981,0.05805090738563886,0.2174612994520596,0.0432444274116524,0.09053675767761164,-0.08380086198952037,0.1742168720404072
1320,0.07182600653996277,0.15228739475750272,0.14109083378672785,0.03310354797573737,0.07521323954004529,0.02926911719061909,0.17721293424685888,0.014353052281239743,0.07587277679259719,-0.0327151982308234,0.16285988196561915
