#Date;Value 18:50 MSK
2017-07-26;59.6675
2017-07-25;59.9978
2017-07-24;60.0326
2017-07-21;59.1728
2017-07-20;59.0438
2017-07-19;58.9463
2017-07-18;59.085
2017-07-17;59.3801
2017-07-14;59.1478
2017-07-13;59.9495
2017-07-12;60.0259
2017-07-11;60.9481
2017-07-10;60.2948
2017-07-07;60.5355
2017-07-06;59.8795
2017-07-05;60.0544
2017-07-04;59.358
2017-07-03;59.3761
2017-06-30;59.1519
2017-06-29;59.2301
2017-06-28;59.4334
2017-06-27;58.9675
2017-06-26;59.0291
2017-06-23;59.4876
2017-06-22;59.886
2017-06-21;59.9023
2017-06-20;59.6614
2017-06-19;58.3691
2017-06-16;57.7501
2017-06-15;57.7295
2017-06-14;57.1237
2017-06-13;56.8716
2017-06-09;56.9657
2017-06-08;56.8528
2017-06-07;56.9067
2017-06-06;56.5779
2017-06-05;56.6398
2017-06-02;56.6748
2017-06-01;56.3284
2017-05-31;56.8369
2017-05-30;56.653
2017-05-29;56.3097
2017-05-26;56.7857
2017-05-25;56.6143
2017-05-24;56.5392
2017-05-23;56.298
2017-05-22;56.7061
2017-05-19;56.8328
2017-05-18;57.5643
2017-05-17;56.8925
2017-05-16;56.4103
2017-05-15;56.3426
2017-05-12;57.1347
2017-05-11;57.047
2017-05-10;57.4761
2017-05-05;58.1018
2017-05-04;58.2386
2017-05-03;57.2849
2017-05-02;56.998
2017-04-28;57.0077
2017-04-27;57.2505
2017-04-26;57.0564
2017-04-25;56.1645
2017-04-24;55.8499
2017-04-21;56.5069
2017-04-20;56.1843
2017-04-19;56.5005
2017-04-18;56.1576
2017-04-17;55.9277
2017-04-14;56.2525
2017-04-13;56.2355
2017-04-12;56.8847
2017-04-11;57.1084
2017-04-10;57.272
2017-04-07;57.1569
2017-04-06;56.3456
2017-04-05;56.2076
2017-04-04;56.1748
2017-04-03;56.3459
2017-03-31;56.4528
2017-03-30;56.0061
2017-03-29;56.6726
2017-03-28;56.8856
2017-03-27;56.8953
2017-03-24;57.1347
2017-03-23;57.466
2017-03-22;57.8207
2017-03-21;57.522
2017-03-20;57.3836
2017-03-17;57.7113
2017-03-16;57.8834
2017-03-15;59.0726
2017-03-14;59.2688
2017-03-13;58.934
2017-03-10;58.8902
2017-03-09;59.4066
2017-03-07;58.1234
2017-03-06;58.0825
2017-03-03;58.4666
2017-03-02;58.6897
2017-03-01;58.492
2017-02-28;58.3299
2017-02-27;57.9823
2017-02-24;58.3982
2017-02-22;57.8994
2017-02-21;57.7008
2017-02-20;58.0289
2017-02-17;58.1868
2017-02-16;57.547
2017-02-15;57.4137
2017-02-14;57.4646
2017-02-13;58.0408
2017-02-10;58.5064
2017-02-09;58.8767
2017-02-08;59.226
2017-02-07;59.2738
2017-02-06;59.0876
2017-02-03;58.9242
2017-02-02;59.6352
2017-02-01;60.215
2017-01-31;60.0031
2017-01-30;59.8653
2017-01-27;59.7063
2017-01-26;60.35
2017-01-25;59.1046
2017-01-24;59.2917
2017-01-23;59.4253
2017-01-20;59.7398
2017-01-19;59.9283
2017-01-18;59.3605
2017-01-17;59.3484
2017-01-16;59.9108
2017-01-13;59.7083
2017-01-12;59.2903
2017-01-11;60.4858
2017-01-10;59.9875
2017-01-09;60.0373
2017-01-06;59.4782
2017-01-05;59.2607
2017-01-04;60.6085
2017-01-03;60.5357
2016-12-30;61.0378
2016-12-29;60.7418
2016-12-28;60.413
2016-12-27;60.7259
2016-12-26;61.0034
2016-12-23;61.2389
2016-12-22;60.8507
2016-12-21;61.0874
2016-12-20;61.3855
2016-12-19;61.7656
2016-12-16;61.903
2016-12-15;61.9274
2016-12-14;61.118
2016-12-13;60.805
2016-12-12;61.0764
2016-12-09;62.6709
2016-12-08;63.3555
2016-12-07;63.8017
2016-12-06;63.9675
2016-12-05;63.5974
2016-12-02;63.8614
